stg,sys,system,series,stage,short,bottom,mid,top,dur,systemCol,seriesCol,col,t2d,t2u,t3,tPart,tGFd,tGFu,tSing,tOri,tExt,tThrough,divSIB,divCSIB,divRT,divBC,extProp,oriProp,extPC,oriPC,ext3t,ori3t,extC3t,oriC3t,extGF,oriGF,E2f3,O2f3,ext2f3,ori2f3,samp3t,sampRange,diet,mass_extinction,food_mass_extinction,me_no_perm
58,Tr,Triassic,Upper Triassic,Rhaetian,Rha,209.51,205.435,201.36,8.15,#984b99,#c9a6d0,#e5cbe4,497,193,142,37,33,58,70,80,302,766,773,767.081144942816,1218,1068,0.305418719211823,0.123152709359606,0.332360849779549,0.099337189865632,1.25276296849537,0.306863131303625,0.949890730549612,0.0932890310055658,0.812335697825064,0.081493034251183,0.556179775280899,0.0695652173913043,0.812335697825064,0.0721032939013439,0.793296089385475,0.419060052219321,Both,TRUE,FALSE,TRUE
59,J,Jurassic,Lower Jurassic,Hettangian,Het,201.36,200.41,199.46,1.9,#00b0e2,#02b1ea,#22b5e9,193,258,147,52,38,66,59,137,21,825,459,489.153938299033,1042,846,0.0767754318618042,0.18809980806142,0.0251359732715423,0.153631064331025,0.272257602126149,0.562526998142881,0.0296959649548378,0.330968249903387,-0.0784716154414952,0.268512156344061,0,0.235483870967742,0,0.268512156344061,0.738693467336683,0.293333333333333,Both,FALSE,FALSE,FALSE
60,J,Jurassic,Lower Jurassic,Sinemurian,Sin,199.46,196.18,192.9,6.56,#00b0e2,#02b1ea,#5ebeee,258,388,204,56,79,28,93,155,47,915,611,613.029703378973,1210,962,0.115702479338843,0.20495867768595,0.0500903853901852,0.15648986218043,0.234839591077401,0.642885345779057,0.11085361129641,0.340013107833301,0.0864325057723073,0.269824455051775,0.0636942675159236,0.236486486486486,0.0658132185695718,0.269824455051775,0.784615384615385,0.345355191256831,Both,FALSE,FALSE,FALSE
61,J,Jurassic,Lower Jurassic,Pliensbachian,Plb,192.9,188.55,184.2,8.7,#00b0e2,#02b1ea,#86c9f3,388,403,250,33,50,23,161,149,113,957,844,752.118031603696,1380,1070,0.198550724637681,0.22463768115942,0.111610536002998,0.144701790629326,0.439544421761027,0.477475644084437,0.238873726298876,0.234914006913125,0.319047731730001,0.269499753368591,0.239904988123515,0.224770642201835,0.274311837888609,0.254596347866015,0.88339222614841,0.439916405433647,Both,FALSE,FALSE,FALSE
62,J,Jurassic,Lower Jurassic,Toarcian,Toa,184.2,179.45,174.7,9.5,#00b0e2,#02b1ea,#a3d1f3,403,278,189,42,19,101,102,124,125,981,716,688.90656800384,1332,1106,0.17042042042042,0.16966966966967,0.119932722516917,0.11902815438649,0.757189546887041,0.385874098630995,0.353489664303445,0.261888118850003,0.292939313249752,0.246860077931526,0.253932584269663,0.159375,0.292939313249752,0.173609616191933,0.818181818181818,0.372069317023445,Both,FALSE,FALSE,FALSE
63,J,Jurassic,Middle Jurassic,Aalenian,Aal,174.7,172.8,170.9,3.8,#00b0e2,#84cfee,#a2d8f0,278,290,189,94,63,62,43,94,53,1052,488,575.230070059749,1242,1105,0.0772946859903382,0.110305958132045,0.0491522206541981,0.0855845039770297,0.385874098630995,0.428133907920877,0.199288143050583,0.227463212458726,0.0753494372417868,0.104203777530002,0.0725806451612903,0.0989583333333333,0.0753494372417868,0.104203777530003,0.667844522968198,0.283269961977186,Both,FALSE,FALSE,FALSE
64,J,Jurassic,Middle Jurassic,Bajocian,Baj,170.9,169.535,168.17,2.73,#00b0e2,#84cfee,#b0dff1,290,424,195,40,99,31,156,210,91,1055,840,796.910711356553,1512,1146,0.163359788359788,0.242063492063492,0.082736851364518,0.181531355251454,0.396881364416773,0.776733896668211,0.208386948515737,0.373034014084616,0.215596345678827,0.328743559249555,0.193939393939394,0.280172413793103,0.215596345678827,0.328743559249555,0.829787234042553,0.36303317535545,Both,FALSE,FALSE,FALSE
65,J,Jurassic,Middle Jurassic,Bathonian,Bat,168.17,166.73,165.29,2.88,#00b0e2,#84cfee,#bce3f2,424,520,323,67,42,72,110,188,69,1196,876,832.651594700633,1563,1265,0.114523352527191,0.19065898912348,0.0560894666510436,0.145995201667038,0.272081132009301,0.476176488352816,0.0673959791284882,0.289590532772404,0.0608792367127818,0.306599231583986,0.0590631364562118,0.202725724020443,0.0608792367127818,0.22655652391045,0.828205128205128,0.425585284280936,Both,FALSE,FALSE,FALSE
66,J,Jurassic,Middle Jurassic,Callovian,Cal,165.29,163.41,161.53,3.76,#00b0e2,#84cfee,#cae6f2,520,530,339,77,78,62,164,175,148,1236,1018,983.418870830202,1723,1384,0.181079512478236,0.196749854904237,0.113097498159979,0.132418313835178,0.427828704195023,0.446876899165717,0.236396559330609,0.258382483264682,0.222306380901146,0.205993273871576,0.199329983249581,0.177924217462932,0.222306380901146,0.19592269530798,0.814903846153846,0.429611650485437,Both,FALSE,FALSE,FALSE
67,J,Jurassic,Upper Jurassic,Oxfordian,Oxf,161.53,158.155,154.78,6.75,#00b0e2,#bbe4fa,#cce8fd,530,598,346,73,86,55,136,216,146,1265,1089,1038.15674801525,1763,1411,0.159954622802042,0.199659671015315,0.109226550691193,0.157645413106178,0.426438231488443,0.547151978892907,0.240287697457391,0.342466826012094,0.240709875032109,0.284210707696322,0.187396351575456,0.230998509687034,0.207511805622513,0.262662371490119,0.825775656324582,0.467193675889328,Both,FALSE,FALSE,FALSE
68,J,Jurassic,Upper Jurassic,Kimmeridgian,Kim,154.78,152.01,149.24,5.54,#00b0e2,#bbe4fa,#d4eefd,598,570,391,80,57,32,144,161,144,1337,1078,1022.25686998418,1786,1481,0.161254199328108,0.170772676371781,0.102289237165856,0.113702586975222,0.424883193965266,0.37692880084323,0.240920947713851,0.185496655978817,0.298557117840656,0.207876079183421,0.182890855457227,0.149230769230769,0.201982601193112,0.161614361367348,0.830148619957537,0.470456245325355,Both,FALSE,FALSE,FALSE
69,J,Jurassic,Upper Jurassic,Tithonian,Tit,149.24,146.17,143.1,6.14,#00b0e2,#bbe4fa,#e0f2fc,570,324,203,41,29,141,190,168,229,1269,1090,1031.37693200063,1856,1498,0.225754310344828,0.192887931034483,0.165901696362777,0.124328418364637,1.03243038178681,0.467537536750542,0.479045143602022,0.28138700271949,0.461853624883811,0.290425558397532,0.369885433715221,0.227397260273973,0.461853624883811,0.257990282644378,0.831967213114754,0.396375098502758,Both,FALSE,FALSE,FALSE
70,K,Cretaceous,Lower Cretaceous,Berriasian,Ber,143.1,140.4,137.7,5.4,#95c562,#9fca70,#9ec979,324,281,184,136,69,51,58,83,92,1345,561,768.054687184266,1578,1437,0.0950570342205323,0.0893536121673004,0.0661635940430854,0.0598808508635902,0.565807758183344,0.42341891172476,0.36348553468272,0.239456665473346,0.215024426875706,0.0695068781803552,0.117391304347826,0.0671462829736211,0.124873329881408,0.0695068781803552,0.575,0.243866171003717,Both,FALSE,FALSE,FALSE
71,K,Cretaceous,Lower Cretaceous,Valanginian,Val,137.7,135.15,132.6,5.1,#95c562,#9fca70,#a8d182,281,366,165,37,101,55,94,144,106,1322,773,744.979026969349,1666,1428,0.120048019207683,0.142857142857143,0.077129122487898,0.103391862034965,0.532409195433165,0.796687859500786,0.243439292796956,0.243302621315999,0.212975297884957,0.285203756437314,0.191823899371069,0.248138957816377,0.212975297884957,0.285203756437314,0.816831683168317,0.324508320726172,Both,FALSE,FALSE,FALSE
72,K,Cretaceous,Lower Cretaceous,Hauterivian,Hau,132.6,129.55,126.5,6.1,#95c562,#9fca70,#b7d690,366,317,194,65,42,133,58,145,100,1366,696,731.48327567751,1669,1466,0.0946674655482325,0.121629718394248,0.0706508423158614,0.100884922142004,0.634775174338038,0.491043614813952,0.202354256241345,0.288721391313328,0.0948462503132853,0.2383103438577,0.0904872389791183,0.18586387434555,0.0948462503132853,0.205627696427341,0.749034749034749,0.287701317715959,Both,FALSE,FALSE,FALSE
73,K,Cretaceous,Lower Cretaceous,Barremian,Bar,126.5,123.95,121.4,5.1,#95c562,#9fca70,#c2da9c,317,445,244,132,112,61,110,163,90,1421,781,947.427921827059,1784,1511,0.112107623318386,0.153026905829596,0.0614108341756389,0.108592444277271,0.261733548584079,0.600906056873038,0.0739623870225594,0.311936154236829,0.0270896926466641,0.167526860654952,0.0244988864142539,0.154246100519931,0.0248039773658082,0.167526860654952,0.648936170212766,0.294159042927516,Both,FALSE,FALSE,FALSE
74,K,Cretaceous,Lower Cretaceous,Aptian,Apt,121.4,117.3,113.2,8.2,#95c562,#9fca70,#cfe1a7,445,722,305,63,131,42,195,331,170,1414,1337,1269.92044129366,2110,1584,0.172985781990521,0.249289099526066,0.113530725917853,0.21033198818001,0.377762505558829,0.861713362285415,0.178482216517914,0.429292444188722,0.214324287880128,0.45307762203089,0.15748031496063,0.361783439490446,0.171358251996685,0.449077616697544,0.828804347826087,0.453323903818953,Both,FALSE,FALSE,FALSE
75,K,Cretaceous,Lower Cretaceous,Albian,Alb,113.2,106.85,100.5,12.7,#95c562,#9fca70,#d9e8b1,722,781,458,101,45,66,310,373,243,1502,1651,1586.31901623879,2428,1745,0.227759472817133,0.281301482701812,0.149957002312447,0.221811106080431,0.455155954778641,0.533705965725501,0.285802578050569,0.345934804163982,0.275204550940668,0.378617858071976,0.210206561360875,0.248299319727891,0.235983837787387,0.285417065820929,0.819320214669052,0.482689747003995,Both,FALSE,FALSE,FALSE
76,K,Cretaceous,Upper Cretaceous,Cenomanian,Cen,100.5,97.2,93.9,6.6,#95c562,#b9d25d,#c6d86c,781,670,401,74,76,56,339,375,270,1605,1720,1603.89085517929,2589,1875,0.235225955967555,0.275782155272306,0.155484902840395,0.209973088124465,0.666613722533117,0.513316285078443,0.413043484588199,0.314035996037528,0.476339447694821,0.300306225680177,0.329824561403509,0.248655913978495,0.400215752222021,0.285891561677993,0.84421052631579,0.458566978193146,Both,FALSE,FALSE,FALSE
77,K,Cretaceous,Upper Cretaceous,Turonian,Tur,93.9,91.645,89.39,4.51,#95c562,#b9d25d,#d2dd77,670,342,246,71,32,262,130,186,161,1819,1135,1151.37592424164,2296,1980,0.126742160278746,0.137630662020906,0.0848099451704587,0.0973571612225473,1.00194617645265,0.329479201130242,0.362420087331801,0.16012582440217,0.246698147723092,0.168375670758606,0.218623481781377,0.11864406779661,0.246698147723092,0.126293725324292,0.77602523659306,0.361737218251787,Both,FALSE,FALSE,FALSE
78,K,Cretaceous,Upper Cretaceous,Coniacian,Con,89.39,87.545,85.7,3.69,#95c562,#b9d25d,#dce383,342,342,249,223,131,227,38,80,56,1949,562,838.641007246219,2123,2005,0.0442769665567593,0.0555817239755064,0.0283276402331088,0.0402266403182539,0.317357840597898,0.317357840597898,0.0112299223553651,0.0637876026529796,-0.212825011087369,-0.0650914655807446,-0.00884955752212389,0,-0.00881062968215492,0,0.527542372881356,0.199076449461262,Both,FALSE,FALSE,FALSE
79,K,Cretaceous,Upper Cretaceous,Santonian,San,85.7,84.675,83.65,2.05,#95c562,#b9d25d,#e5e88f,342,688,282,101,352,25,87,191,111,1918,1052,1124.76691411223,2307,2029,0.0858257477243173,0.12050281751192,0.0562600843824313,0.094930925035391,0.192903666124492,0.89188176699523,0.021164218661074,0.252355677874382,0.0823025956409739,0.0708958216330376,0.0225733634311512,0.0684410646387833,0.0228320420426457,0.0708958216330376,0.736292428198433,0.345672575599583,Both,FALSE,FALSE,FALSE
80,K,Cretaceous,Upper Cretaceous,Campanian,Cam,83.65,77.91,72.17,11.48,#95c562,#b9d25d,#efec9b,688,1070,475,89,76,56,218,353,314,1795,1821,1702.12937773928,2680,2109,0.198507462686567,0.213059701492537,0.161208879556395,0.179532154706376,0.370474033898703,0.812099123421311,0.225982046977797,0.505971205178778,0.22572087232851,0.593844666986034,0.172458172458172,0.392579810181191,0.189295626130028,0.498534487181709,0.842198581560284,0.521448467966574,Both,FALSE,FALSE,FALSE
81,K,Cretaceous,Upper Cretaceous,Maastrichtian,Maa,72.17,69.105,66.04,6.13,#95c562,#b9d25d,#f5f1a7,1070,696,431,67,66,117,313,281,621,1527,2010,1828.29073020576,2742,2148,0.340627279358133,0.216630196936543,0.341232150410123,0.168916235733489,0.909305837352204,0.479241570230672,0.612054313884273,0.307502122767254,0.614526225944018,0.302203779786398,0.458223394898857,0.246395806028834,0.612901530217016,0.282887990487107,0.865461847389558,0.520628683693517,Both,TRUE,TRUE,TRUE
82,Pg,Paleogene,Paleocene,Danian,Dan,66.04,63.85,61.66,4.38,#f8ac70,#f8b77d,#fbc27f,696,711,390,135,66,147,150,455,177,1631,1505,1594.88114440374,2413,1808,0.135515955242437,0.250725238292582,0.103027938331108,0.246055032939704,0.579202921210728,0.600525690679549,0.286566255634263,0.456033703758644,0.212371454332299,0.358703342200125,0.191335740072202,0.280141843971631,0.212371454332299,0.328701091896326,0.742857142857143,0.443286327406499,Both,FALSE,FALSE,FALSE
83,Pg,Paleogene,Paleocene,Selandian-Thanetian,Se-Th,61.66,58.83,56,5.66,#f8ac70,#f8b77d,#fccb87,711,723,453,154,152,154,118,311,159,1927,1369,1444.079372491,2515,2086,0.11013916500994,0.170576540755467,0.0792839671463514,0.149618220457504,0.450780304320207,0.467517096675731,0.191156184663583,0.170265573207799,0.128096149070194,0.144505214976553,0.120231213872832,0.126567844925884,0.128096149070194,0.135324822631592,0.746293245469522,0.405293201868189,Both,FALSE,FALSE,FALSE
84,Pg,Paleogene,Eocene,Ypresian,Ypr,56,52.035,48.07,7.93,#f8ac70,#fac18a,#f7ba8e,723,898,506,150,158,149,470,490,125,2113,2001,2042.19655132991,3198,2238,0.186053783614759,0.300187617260788,0.0574738712558138,0.208555887378509,0.356872552871299,0.573633399014734,0.0975493449795869,0.28099673343827,0.0810932784210387,0.252678498878447,0.0778923253150057,0.223282442748092,0.0810932784210387,0.252678498878447,0.771341463414634,0.433506862281117,Both,FALSE,FALSE,FALSE
85,Pg,Paleogene,Eocene,Lutetian,Lut,48.07,44.55,41.03,7.04,#f8ac70,#fac18a,#f9c39f,898,950,608,180,156,289,219,390,174,2429,1853,1890.58054651056,3212,2603,0.122353673723537,0.189601494396015,0.0691849759923929,0.14890256211194,0.389995186336033,0.44628710262842,0.0524730808519829,0.186662982971796,0.000928074312553811,0.179846745560886,0.000927643784786642,0.13716814159292,0.000928074312553811,0.147535440708539,0.771573604060914,0.440510498147386,Both,FALSE,FALSE,FALSE
86,Pg,Paleogene,Eocene,Bartonian,Brt,41.03,39.37,37.71,3.32,#f8ac70,#fac18a,#fcceac,950,1045,680,273,265,125,147,279,206,2613,1753,1934.02922019182,3245,2819,0.108782742681048,0.131278890600924,0.0758832255935,0.101449317758043,0.334369186424434,0.429679366228759,0.14626726671498,0.170356158337047,0.12619938421823,0.0789052667926101,0.026982829108749,0.0758725341426404,0.0273535495815972,0.0789052667926103,0.713536201469045,0.42900880214313,Both,FALSE,FALSE,FALSE
87,Pg,Paleogene,Eocene,Priabonian,Prb,37.71,35.805,33.9,3.81,#f8ac70,#fac18a,#fcd7ba,1045,918,575,119,161,180,244,356,399,2493,2292,2177.72665251387,3492,2892,0.184135166093929,0.171821305841924,0.148461499755097,0.13348125097435,0.597402123601561,0.46782734982314,0.236803264366211,0.13030524433909,0.286537252635848,0.192985739292767,0.24914089347079,0.175506268081003,0.286537252635848,0.192985739292767,0.828530259365994,0.518652226233454,Both,FALSE,FALSE,FALSE
88,Pg,Paleogene,Oligocene,Rupelian,Rup,33.9,30.595,27.29,6.61,#f8ac70,#fdcb98,#fedfb3,918,838,585,254,120,388,150,285,184,2665,1679,1895.63150588393,3284,2849,0.101705237515225,0.132460414129111,0.0667639978979634,0.101601112733921,0.450585543388634,0.359406253250227,0.0662715977816267,0.171304333540772,-0.0458604745739536,0.129875081421412,0,0.054029304029304,0,0.0555436871852119,0.697258641239571,0.397748592870544,Both,FALSE,FALSE,FALSE
89,Pg,Paleogene,Oligocene,Chattian,Cht,27.29,25.165,23.04,4.25,#f8ac70,#fdcb98,#ffeac3,838,1080,653,306,393,172,151,251,148,2802,1689,1952.68505671699,3352,2950,0.089200477326969,0.119928400954654,0.0514717224369132,0.0857912658379255,0.249440971205652,0.503139190841834,0.0669242734217132,0.142540331606485,0.0114286958236228,0.0248369231469391,0.0113636363636364,0.0245310245310245,0.0114286958236228,0.0248369231469391,0.680917622523462,0.406495360456817,Both,FALSE,FALSE,FALSE
90,Ng,Neogene,Miocene,Lower Miocene,Lmi,23.04,19.515,15.99,7.05,#fede1a,#ffed02,#fff14a,1080,1646,854,171,314,146,296,518,265,2788,2680,2532.1994843908,3867,3053,0.145073700543057,0.210499094905612,0.0908002208544634,0.170414506500555,0.234785126329696,0.656172187448445,0.0230145651877558,0.271858241841438,0.0660851468691939,0.305263722704999,0.0431654676258993,0.263070996147496,0.0441248049089379,0.305263722704999,0.833170731707317,0.574246771879483,Both,FALSE,FALSE,FALSE
91,Ng,Neogene,Miocene,Middle Miocene,Mmi,15.99,13.81,11.63,4.36,#fede1a,#ffed02,#fef26b,1646,1687,1238,292,145,289,328,341,390,2916,2858,2780.54634348127,3975,3306,0.18062893081761,0.168301886792453,0.125526185252421,0.110593712147685,0.284850927992474,0.309454629301427,0.043241493917257,0.126937931517488,0.0633696139325892,0.166778501343399,0.0614035087719298,0.0798383021728146,0.0633696139325892,0.0832058658749578,0.809150326797386,0.616941015089163,Both,FALSE,FALSE,FALSE
92,Ng,Neogene,Miocene,Upper Miocene,Umi,11.63,8.48,5.33,6.3,#fede1a,#ffed02,#fef488,1687,1800,1277,349,296,193,361,311,543,2714,2933,2939.94248503739,3929,3257,0.230083990837363,0.171035886994146,0.182382964881419,0.108487530070127,0.278438226513429,0.343273087851717,0.125058854090395,0.131502526709777,0.112700199152291,0.111636307112273,0.0613948919449902,0.0777105630525826,0.0633604334301403,0.0808961817525772,0.785362853628536,0.633014001473839,Both,FALSE,FALSE,FALSE
93,Ng,Neogene,Pliocene,Pliocene,Pli,5.33,3.96,2.59,2.74,#fede1a,#fff7b2,#fff7b2,1800,1822,1297,215,257,27,342,234,861,2164,3065,2812.8036776786,3601,3025,0.334073868369897,0.159955567897806,0.33495273049857,0.102676695621087,0.327732759567812,0.33988089350346,0.231965854475804,0.0982714594282431,0.269486340541904,0.141063722067021,0.154838709677419,0.120765832106038,0.168227793718095,0.128704014166094,0.857804232804233,0.752310536044362,Both,FALSE,FALSE,FALSE
94,,Quarternary,Pleistocene,Pleistocene,Ple,2.59,1.30085,0.0117,2.5783,#fff69b,#fff2c5,#fff2c5,1822,497,398,40,51,NA,379,36,1845,553,2721,2357.31004865764,2813,2398,0.790615001777462,0.147529328119445,1.46703233406512,0.0630681821292519,1.52123807253547,0.222138020812191,NA,0.0687586483891566,NA,0.0936356050339927,NA,0.0651769087523277,NA,0.0673979748171354,0.908675799086758,0.833634719710669,Both,FALSE,FALSE,FALSE
95,,Quarternary,Holocene,Holocene,Hol,0.0117,0.00585,0,0.0117,#fff69b,#fff5eb,#fff5eb,497,NA,NA,NA,NA,NA,77,NA,589,NA,666,NA,666,589,1,0.115615615615616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Both,FALSE,FALSE,FALSE
1,E,Ediacaran,Upper Ediacaran,Avalon Assemblage,Ava,580,570,560,20,#fddd88,#fddd88,#fcd589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,FALSE,FALSE,FALSE
2,E,Ediacaran,Upper Ediacaran,White Sea Assemblage,Whs,560,555,550,10,#fddd88,#fddd88,#fdd587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,FALSE,FALSE,FALSE
3,E,Ediacaran,Upper Ediacaran,Nama Assemblage,Nam,550,544.4,538.8,11.2,#fddd88,#fddd88,#fed583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,FALSE,FALSE,FALSE
4,Cm,Cambrian,Terreneuvian,Fortunian,For,538.8,533.9,529,9.8,#94ac72,#9db989,#a9be93,NA,6,NA,NA,NA,NA,0,7,NA,NA,7,NA,7,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore,FALSE,FALSE,FALSE
5,Cm,Cambrian,Terreneuvian,Stage 2,St2,529,525,521,8,#94ac72,#9db989,#b6c29e,6,6,4,1,NA,0,0,2,2,5,8,7.89740849585894,9,7,0.222222222222222,0.222222222222222,0.336472236621213,0.336472236621213,0.405465108108164,0.405465108108164,0.405465108108164,NA,0.336472236621213,NA,0.142857142857143,NA,0.154150679827258,NA,0.8,0.8,Carnivore,FALSE,FALSE,FALSE
6,Cm,Cambrian,Series 2,Stage 3,St3,521,517.75,514.5,6.5,#94ac72,#a9c595,#b5ca9f,6,4,2,0,0,0,7,6,5,2,20,15.7948169917179,20,7,0.6,0.65,1.25276296849537,1.38629436111989,1.09861228866811,0.693147180559945,0.587786664902119,0.470003629245736,1.09861228866811,0.693147180559945,0.666666666666667,0.5,1.09861228866811,0.693147180559945,1,1,Carnivore,FALSE,FALSE,FALSE
7,Cm,Cambrian,Series 2,Stage 4,St4,514.5,511.75,509,5.5,#94ac72,#a9c595,#c0ceaa,4,3,3,2,0,0,0,1,0,8,5,6.58117374654911,9,8,0,0.111111111111111,0,0.117783035656384,0.287682072451781,0,0.287682072451781,0,0.182321556793955,0,0,0,0,0,0.6,0.5,Carnivore,FALSE,FALSE,FALSE
8,Cm,Cambrian,Maolingian,Wulian,Wul,509,506.75,504.5,4.5,#94ac72,#b6d2a2,#c1d6af,3,4,2,0,0,1,6,2,3,6,13,10.2666310446166,17,9,0.529411764705882,0.470588235294118,0.405465108108164,0.287682072451781,0.405465108108164,0.693147180559945,0.405465108108164,0.182321556793955,0,0.693147180559945,0,0.5,0,0.693147180559945,1,0.333333333333333,Carnivore,FALSE,FALSE,FALSE
9,Cm,Cambrian,Maolingian,Drumian,Dru,504.5,502.5,500.5,4,#94ac72,#b6d2a2,#cddbb8,4,2,2,0,1,0,0,0,2,6,4,3.15896339834357,8,8,0.25,0,0.287682072451781,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,-0.405465108108164,0.5,0,0.693147180559945,0,1,0.333333333333333,Carnivore,FALSE,FALSE,FALSE
10,Cm,Cambrian,Maolingian,Guzhangian,Guz,500.5,498.75,497,3.5,#94ac72,#b6d2a2,#d6e1c1,2,6,1,0,0,0,1,3,1,5,8,6.31792679668715,10,6,0.2,0.4,0.182321556793955,0.470003629245736,0.693147180559945,1.79175946922805,0.693147180559945,1.79175946922805,0.693147180559945,1.79175946922805,0.5,0.833333333333333,0.693147180559945,1.79175946922806,1,0.6,Carnivore,FALSE,FALSE,FALSE
11,Cm,Cambrian,Furongian,Paibian,Pai,497,495.6,494.2,2.8,#94ac72,#c2ddb0,#d8e8c4,6,8,6,0,0,0,0,3,0,8,9,7.10766764627304,11,8,0,0.272727272727273,0,0.318453731118535,0,0.287682072451781,-0.117783035656384,0.287682072451781,0,0.287682072451781,0,0.25,0,0.287682072451781,1,0.75,Carnivore,FALSE,FALSE,FALSE
12,Cm,Cambrian,Furongian,Jiangshanian,Jia,494.2,492.6,491,3.2,#94ac72,#c2ddb0,#e4efcf,8,8,8,1,0,0,0,0,0,11,8,7.10766764627304,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888888888889,0.727272727272727,Carnivore,FALSE,FALSE,FALSE
13,Cm,Cambrian,Furongian,Stages 10,St10,491,488.925,486.85,4.15,#94ac72,#c2ddb0,#edf2db,8,32,6,0,1,0,17,26,3,8,54,42.6460058776383,54,11,0.37037037037037,0.796296296296296,0.318453731118535,1.44691898293633,0.287682072451781,1.67397643357167,0.200670695462151,1.55619339791529,0.287682072451781,1.51982575374441,0.25,0.78125,0.287682072451781,1.51982575374441,1,1,Carnivore,FALSE,FALSE,FALSE
14,O,Ordovician,Lower Ordovician,Tremadocian,Tre,486.85,481.965,477.08,9.77,#009881,#00a180,#0dac98,32,78,11,1,0,3,50,82,16,18,164,141.291817453185,166,34,0.397590361445783,0.795180722891566,0.635988766719997,1.71479842809193,1.06784063000136,1.95881355389122,0.8754687373539,1.95881355389122,0.78845736036427,1.88454120267902,0.545454545454545,0.835443037974684,0.78845736036427,1.80449849500548,0.916666666666667,0.888888888888889,Carnivore,FALSE,FALSE,FALSE
15,O,Ordovician,Lower Ordovician,Floian,Flo,477.08,474.17,471.26,5.82,#009881,#00a180,#0eb1a0,78,55,33,7,1,15,50,36,34,66,165,157.948169917179,186,100,0.451612903225806,0.462365591397849,0.415515443961666,0.435318071257845,0.860201265223112,0.510825623765991,0.535961597037533,0.423814246776361,0.435318071257845,0.413562318340784,0.352941176470588,0.274193548387097,0.435318071257846,0.320471895274772,0.825,0.681818181818182,Carnivore,FALSE,FALSE,FALSE
16,O,Ordovician,Middle Ordovician,Dapingian,Dap,471.26,470.34,469.42,1.84,#009881,#34b597,#67c0ae,55,84,47,18,12,6,6,35,7,95,103,112.496063573991,143,102,0.0909090909090909,0.286713286713287,0.0710959216837302,0.313657558855042,0.157185583522412,0.580669197133255,0.0580946808781815,0.388297304485799,0.0277795641070757,0.281167391430587,0,0.215686274509804,0,0.242946178610389,0.723076923076923,0.578947368421053,Carnivore,FALSE,FALSE,FALSE
17,O,Ordovician,Middle Ordovician,Darriwilian,Dar,469.42,463.8,458.18,11.24,#009881,#34b597,#79c5b8,84,122,48,5,8,8,73,96,47,83,279,243.289540475554,299,130,0.40133779264214,0.565217391304348,0.448693842658985,0.768545198044157,0.559615787935423,0.932820033825366,0.268926194419686,0.608580365639787,0.377762505558829,0.73331322228528,0.314606741573034,0.519685039370079,0.377762505558829,0.73331322228528,0.905660377358491,0.759036144578313,Carnivore,FALSE,FALSE,FALSE
18,O,Ordovician,Upper Ordovician,Sandbian,Sbd,458.18,455.465,452.75,5.43,#009881,#8ccbae,#9bceaf,122,119,83,28,5,1,17,33,36,143,182,192.221019799207,229,179,0.231441048034935,0.218340611353712,0.224541175580848,0.207639364778244,0.385180436936659,0.360282885314932,0.36219091871196,0.261191982670701,0.292136422801161,0.236842395672372,0.1,0.0748299319727891,0.105360515657826,0.0777777010426842,0.747747747747748,0.671328671328671,Carnivore,FALSE,FALSE,FALSE
19,O,Ordovician,Upper Ordovician,Katian,Kat,452.75,448.98,445.21,7.54,#009881,#8ccbae,#a6d5c3,119,66,43,1,5,6,56,33,76,100,241,194.753766721135,265,176,0.49811320754717,0.335849056603774,0.56531380905006,0.285178942233662,1.01792337741797,0.428454626332863,0.71943038886197,0.137765032817127,0.8754687373539,0.312872321280339,0.575,0.26865671641791,0.85566611005772,0.312872321280339,0.977272727272727,0.76,Carnivore,TRUE,TRUE,TRUE
20,O,Ordovician,Upper Ordovician,Hirnantian,Hir,445.21,444.14,443.07,2.14,#009881,#8ccbae,#b6d9c3,66,24,23,8,0,16,7,5,24,109,79,84.0902322015588,145,133,0.213793103448276,0.0827586206896552,0.19900124599261,0.0448505661653518,1.05416052609728,0.0425596144187959,0.691255032407907,0.0195700961940972,0.453917491494111,0.0317486983145803,0.364864864864865,0,0.453917491494111,0,0.741935483870968,0.394495412844037,Carnivore,FALSE,FALSE,FALSE
